city,»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
,,,,,,,,,,
hefei,2020/1/1,¡º,67,167,47,74,7,59,0.76,9
,,,,,,,,,,
hefei,2020/1/2,¡º,87,189,64,71,7,64,0.89,8
,,,,,,,,,,
hefei,2020/1/3,¡º,79,165,58,56,5,48,0.63,5
,,,,,,,,,,
hefei,2020/1/4,¡º,89,171,66,53,5,52,0.93,4
,,,,,,,,,,
hefei,2020/1/5,«·∂»Œ€»æ,121,258,91,74,6,63,1.12,10
,,,,,,,,,,
hefei,2020/1/6,”≈,39,87,25,17,4,40,1.01,5
,,,,,,,,,,
hefei,2020/1/7,”≈,35,96,20,22,4,42,1.5,14
,,,,,,,,,,
hefei,2020/1/8,¡º,61,200,44,40,5,32,0.68,39
,,,,,,,,,,
hefei,2020/1/9,”≈,39,67,26,22,3,45,0.65,26
,,,,,,,,,,
hefei,2020/1/10,”≈,45,123,32,27,4,44,0.55,13
,,,,,,,,,,
hefei,2020/1/11,¡º,55,170,39,31,4,38,0.62,25
,,,,,,,,,,
hefei,2020/1/12,«·∂»Œ€»æ,103,265,77,72,5,54,0.99,23
,,,,,,,,,,
hefei,2020/1/13,«·∂»Œ€»æ,133,277,101,101,7,69,1.22,17
,,,,,,,,,,
hefei,2020/1/14,÷–∂»Œ€»æ,164,300,124,116,8,55,1.14,32
,,,,,,,,,,
hefei,2020/1/15,«·∂»Œ€»æ,110,256,82,58,6,47,0.95,32
,,,,,,,,,,
hefei,2020/1/16,”≈,29,64,20,12,4,36,0.48,31
,,,,,,,,,,
hefei,2020/1/17,¡º,87,211,64,45,4,38,0.75,23
,,,,,,,,,,
hefei,2020/1/18,«·∂»Œ€»æ,109,242,82,72,6,47,0.88,29
,,,,,,,,,,
hefei,2020/1/19,«·∂»Œ€»æ,102,245,76,82,7,56,1.01,37
,,,,,,,,,,
hefei,2020/1/20,«·∂»Œ€»æ,108,275,81,105,8,73,1.18,36
,,,,,,,,,,
hefei,2020/1/21,÷–∂»Œ€»æ,173,336,131,119,7,68,1.48,27
,,,,,,,,,,
hefei,2020/1/22,÷–∂»Œ€»æ,167,327,126,85,5,43,1.23,22
,,,,,,,,,,
hefei,2020/1/23,¡º,63,167,46,35,5,27,0.66,35
,,,,,,,,,,
hefei,2020/1/24,¡º,69,223,50,53,4,17,0.61,63
,,,,,,,,,,
hefei,2020/1/25,”≈,34,80,21,28,4,13,0.32,55
,,,,,,,,,,
hefei,2020/1/26,”≈,38,150,26,23,3,18,0.62,51
,,,,,,,,,,
hefei,2020/1/27,¡º,77,223,56,50,4,18,0.85,44
,,,,,,,,,,
hefei,2020/1/28,¡º,95,251,71,64,4,18,0.75,50
,,,,,,,,,,
hefei,2020/1/29,¡º,71,210,51,49,5,21,0.64,59
,,,,,,,,,,
hefei,2020/1/30,«·∂»Œ€»æ,127,327,96,90,6,22,0.95,73
,,,,,,,,,,
hefei,2020/1/31,«·∂»Œ€»æ,105,278,78,72,5,34,0.85,59
,,,,,,,,,,
hefei,2020/1/1,¡º,67,167,47,74,7,59,0.76,9
,,,,,,,,,,
hefei,2020/1/2,¡º,87,189,64,71,7,64,0.89,8
,,,,,,,,,,
hefei,2020/1/3,¡º,79,165,58,56,5,48,0.63,5
,,,,,,,,,,
hefei,2020/1/4,¡º,89,171,66,53,5,52,0.93,4
,,,,,,,,,,
hefei,2020/1/5,«·∂»Œ€»æ,121,258,91,74,6,63,1.12,10
,,,,,,,,,,
hefei,2020/1/6,”≈,39,87,25,17,4,40,1.01,5
,,,,,,,,,,
hefei,2020/1/7,”≈,35,96,20,22,4,42,1.5,14
,,,,,,,,,,
hefei,2020/1/8,¡º,61,200,44,40,5,32,0.68,39
,,,,,,,,,,
hefei,2020/1/9,”≈,39,67,26,22,3,45,0.65,26
,,,,,,,,,,
hefei,2020/1/10,”≈,45,123,32,27,4,44,0.55,13
,,,,,,,,,,
hefei,2020/1/11,¡º,55,170,39,31,4,38,0.62,25
,,,,,,,,,,
hefei,2020/1/12,«·∂»Œ€»æ,103,265,77,72,5,54,0.99,23
,,,,,,,,,,
hefei,2020/1/13,«·∂»Œ€»æ,133,277,101,101,7,69,1.22,17
,,,,,,,,,,
hefei,2020/1/14,÷–∂»Œ€»æ,164,300,124,116,8,55,1.14,32
,,,,,,,,,,
hefei,2020/1/15,«·∂»Œ€»æ,110,256,82,58,6,47,0.95,32
,,,,,,,,,,
hefei,2020/1/16,”≈,29,64,20,12,4,36,0.48,31
,,,,,,,,,,
hefei,2020/1/17,¡º,87,211,64,45,4,38,0.75,23
,,,,,,,,,,
hefei,2020/1/18,«·∂»Œ€»æ,109,242,82,72,6,47,0.88,29
,,,,,,,,,,
hefei,2020/1/19,«·∂»Œ€»æ,102,245,76,82,7,56,1.01,37
,,,,,,,,,,
hefei,2020/1/20,«·∂»Œ€»æ,108,275,81,105,8,73,1.18,36
,,,,,,,,,,
hefei,2020/1/21,÷–∂»Œ€»æ,173,336,131,119,7,68,1.48,27
,,,,,,,,,,
hefei,2020/1/22,÷–∂»Œ€»æ,167,327,126,85,5,43,1.23,22
,,,,,,,,,,
hefei,2020/1/23,¡º,63,167,46,35,5,27,0.66,35
,,,,,,,,,,
hefei,2020/1/24,¡º,69,223,50,53,4,17,0.61,63
,,,,,,,,,,
hefei,2020/1/25,”≈,34,80,21,28,4,13,0.32,55
,,,,,,,,,,
hefei,2020/1/26,”≈,38,150,26,23,3,18,0.62,51
,,,,,,,,,,
hefei,2020/1/27,¡º,77,223,56,50,4,18,0.85,44
,,,,,,,,,,
hefei,2020/1/28,¡º,95,251,71,64,4,18,0.75,50
,,,,,,,,,,
hefei,2020/1/29,¡º,71,210,51,49,5,21,0.64,59
,,,,,,,,,,
hefei,2020/1/30,«·∂»Œ€»æ,127,327,96,90,6,22,0.95,73
,,,,,,,,,,
hefei,2020/1/31,«·∂»Œ€»æ,105,278,78,72,5,34,0.85,59
,,,,,,,,,,
shanghai,2020/1/1,”≈,25,11,14,23,6,41,0.42,41
,,,,,,,,,,
shanghai,2020/1/2,”≈,38,40,23,38,7,64,0.56,21
,,,,,,,,,,
shanghai,2020/1/3,¡º,55,87,39,42,7,58,0.68,11
,,,,,,,,,,
shanghai,2020/1/4,¡º,84,164,62,48,6,50,0.75,45
,,,,,,,,,,
shanghai,2020/1/5,¡º,59,105,42,39,6,50,0.63,55
,,,,,,,,,,
shanghai,2020/1/6,”≈,35,77,23,32,7,47,0.65,47
,,,,,,,,,,
shanghai,2020/1/7,”≈,47,172,33,31,6,51,1.15,17
,,,,,,,,,,
shanghai,2020/1/8,¡º,58,180,41,40,6,44,1.14,28
,,,,,,,,,,
shanghai,2020/1/9,”≈,48,104,34,31,6,46,0.83,34
,,,,,,,,,,
shanghai,2020/1/10,”≈,25,30,16,19,4,37,0.57,47
,,,,,,,,,,
shanghai,2020/1/11,”≈,41,109,28,20,5,38,0.68,47
,,,,,,,,,,
shanghai,2020/1/12,«·∂»Œ€»æ,143,300,108,79,11,55,1.38,44
,,,,,,,,,,
shanghai,2020/1/13,÷–∂»Œ€»æ,160,298,121,87,9,68,1.33,42
,,,,,,,,,,
shanghai,2020/1/14,÷–∂»Œ€»æ,159,294,121,89,9,63,1.29,44
,,,,,,,,,,
shanghai,2020/1/15,¡º,55,103,39,27,5,47,0.61,51
,,,,,,,,,,
shanghai,2020/1/16,”≈,20,23,10,9,4,34,0.44,57
,,,,,,,,,,
shanghai,2020/1/17,¡º,55,127,39,34,6,40,0.72,48
,,,,,,,,,,
shanghai,2020/1/18,¡º,91,200,67,52,7,42,0.92,45
,,,,,,,,,,
shanghai,2020/1/19,«·∂»Œ€»æ,112,267,84,64,6,56,1.02,39
,,,,,,,,,,
shanghai,2020/1/20,÷–∂»Œ€»æ,167,339,127,103,10,76,1.36,51
,,,,,,,,,,
shanghai,2020/1/21,«·∂»Œ€»æ,132,301,100,68,6,58,0.98,72
,,,,,,,,,,
shanghai,2020/1/22,¡º,95,232,71,40,4,52,1.12,36
,,,,,,,,,,
shanghai,2020/1/23,”≈,49,128,36,22,4,36,0.75,46
,,,,,,,,,,
shanghai,2020/1/24,¡º,61,191,43,52,5,25,0.75,87
,,,,,,,,,,
shanghai,2020/1/25,”≈,26,40,14,15,4,20,0.53,66
,,,,,,,,,,
shanghai,2020/1/26,”≈,25,99,15,19,4,18,0.55,72
,,,,,,,,,,
shanghai,2020/1/27,”≈,34,100,22,20,4,19,0.63,67
,,,,,,,,,,
shanghai,2020/1/28,«·∂»Œ€»æ,108,283,81,65,6,24,1.1,51
,,,,,,,,,,
shanghai,2020/1/29,¡º,92,276,68,54,8,21,0.93,74
,,,,,,,,,,
shanghai,2020/1/30,¡º,94,275,70,58,9,22,1.08,76
,,,,,,,,,,
shanghai,2020/1/31,¡º,69,173,51,43,9,32,0.94,69
